Material 	Ey 	fy 	QInf 	b 	DInf 	a 	C1 	gamma1 	C2 	gamma2
S355J2_25mm_plate	197.41 	338.80 	134.34 	14.71 	133.75 	229.25 	26242.00 	199.04 	2445.30 	11.66
S355J2_50mm_plate	185.97 	332.18 	120.48 	8.14 	93.15 	261.75 	21102.00 	173.60 	2300.60 	10.42
S355J2_HEB500_flange	192.13 	315.04 	138.01 	11.36 	96.16 	223.66 	18587.84 	257.31 	1351.98 	6.52
S355J2_HEB500_web	199.68 	334.94 	139.32 	14.07 	120.33 	274.73 	28528.03 	315.17 	2569.45 	24.68
S460NL_25mm_plate	187.61 	439.20 	97.35 	14.02 	136.64 	226.40 	26691.00 	188.75 	2892.40 	10.44
S690QL_25mm_plate	188.63 	685.39 	0.11 	0.11 	132.30 	285.15 	34575.00 	185.16 	3154.20 	20.14
A992Gr50_W14X82_web	210.74 	378.83 	122.63 	19.74 	143.49 	248.14 	31638.00 	277.32 	1548.60 	9.04
A992Gr50_W14X82_flange	191.02 	373.72 	141.47 	15.20 	135.95 	211.16 	25621.00 	235.12 	942.18 	3.16
A500GrB_HSS305X16	191.21 	324.09 	228.02 	0.11 	50.41 	270.40 	17707.00 	207.18 	1526.20 	6.22
BCP325_22mm_plate	178.61 	368.03 	112.25 	10.78 	105.95 	221.92 	20104.00 	200.43 	2203.00 	11.76
BCR295_HSS350X22	178.74 	412.21 	0.09 	0.09 	103.30 	212.83 	20750.59 	225.26 	1245.04 	2.09
HYP400_27mm_plate	189.36 	454.46 	62.63 	16.57 	109.28 	145.74 	13860.00 	141.61 	1031.10 	3.53
